Block Name,Net Transaction Value
Start,0
England,-11700
Iraq,-26000
Waterways,-5300
UNO4,3500
France,-9700
Iran,2800
Satellite,1250
Egypt,0
Resort,0
Canada,0
Germany,-9700
Airways,-13000
Customs Duty,5600
Switzerland,6800
Brazil,4600
Chance16,-4000
Italy,0
Party House,0
Japan,-1500
USA,-29500
Travelling Duty,2350
Roadways,-5400
Mexico,-6400
Hong Kong,-11800
UNO25,3000
Australia,-5700
Jail,11500
India,1750
Chance29,0
Saudi Arabia,-27800
Petroleum,-2700
China,-4500
Railways,500
Malaysia,2000
Singapore,-8900
