Block Name,Net Transaction Value
Start,0
England,-235200
Iraq,-321000
Waterways,-130800
UNO4,-212500
France,261250
Iran,75250
Satellite,65000
Egypt,-56000
Resort,0
Canada,-123400
Germany,-21500
Airways,-64000
Customs Duty,235100
Switzerland,-417800
Brazil,81700
Chance16,-78000
Italy,38000
Party House,0
Japan,99750
USA,-785000
Travelling Duty,117850
Roadways,32900
Mexico,135000
Hong Kong,36600
UNO25,-130000
Australia,116100
Jail,474000
India,-449400
Chance29,12400
Saudi Arabia,-275900
Petroleum,-181900
China,-319250
Railways,-59500
Malaysia,469000
Singapore,331000
