Ticket Name,0 houses,1 house,2 houses,3 houses,hotel
England,-3934100,-8380400,-4257200,-1685200,4291500
Iraq,-10002500,-5944000,-3144000,-1560500,5963500
France,-5158100,-2943700,-1439400,-410100,14570900
Iran,-5301800,-3034200,-1571100,-381600,16168700
Egypt,-6601100,-3988600,-2005000,-960900,11969800
Canada,-7788800,-4748400,-2526800,-1518000,8590800
Germany,-6692600,-4047400,-2300900,-1096900,11840900
Switzerland,-5914300,-7707500,-3782700,-1611500,4296500
Brazil,-4858300,-2786500,-1339400,-539400,12780600
Italy,-7157600,-2124800,-896400,-54400,12336200
Japan,-4944000,-2883750,-1485000,-497500,11244500
USA,-14630500,-8243500,-3440000,-1841000,1105000
Mexico,-6523500,-4113000,-1724000,-561000,12900000
Hong Kong,-4117400,-2979300,-1303200,-506300,12635000
Australia,-6423500,-3657000,-1801300,-486900,12281400
India,-7920400,-6319950,-3402200,-1306850,4801900
Saudi Arabia,-9644500,-6002200,-2995000,-1480700,5008700
China,-8443350,-5257250,-2851900,-1462950,6616600
Malaysia,-2921200,-1237500,-224400,743100,15260400
Singapore,-5563800,-3339900,-1698200,-659100,9048000
