Block Name,IR ratio value
Start,0
England,-0.49697
Iraq,-0.68
Waterways,-0.494737
UNO4,-0.55
France,-0.38
Iran,0.276
Satellite,2.5
Egypt,0
Resort,0
Canada,-0.483333
Germany,0.851429
Airways,0.380952
Customs Duty,0
Switzerland,-0.532075
Brazil,1.084
Chance16,0.0777778
Italy,2.2
Party House,0
Japan,-0.5
USA,-0.117647
Travelling Duty,0
Roadways,-0.0857143
Mexico,0.45
Hong Kong,-0.263158
UNO25,0.133333
Australia,-0.30303
Jail,0
India,0.486792
Chance29,-0.304
Saudi Arabia,0.432727
Petroleum,0.327273
China,0
Railways,-0.736842
Malaysia,-1
Singapore,0.3
