Block Name,Net Transaction Value
Start,0
England,2000
Iraq,80500
Waterways,-7500
UNO4,-15000
France,-350
Iran,100300
Satellite,11500
Egypt,-700
Resort,0
Canada,54200
Germany,80350
Airways,15000
Customs Duty,28400
Switzerland,172100
Brazil,57600
Chance16,-1900
Italy,9700
Party House,0
Japan,50500
USA,11500
Travelling Duty,16100
Roadways,36600
Mexico,234000
Hong Kong,-1800
UNO25,9000
Australia,19100
Jail,38000
India,154300
Chance29,-6800
Saudi Arabia,7700
Petroleum,21000
China,148400
Railways,33000
Malaysia,3100
Singapore,0
