

Start,86
England,53
Iraq,30
Waterways,41
UNO4,94
France,34
Iran,43
Satellite,46
Egypt,29
Resort,74
Canada,42
Germany,52
Airways,59
Customs Duty,98
Switzerland,31
Brazil,41
Chance16,104
Italy,24
Party House,67
Japan,56
USA,24
Travelling Duty,108
Roadways,52
Mexico,47
Hong Kong,46
UNO25,92
Australia,37
Jail,91
India,46
Chance29,58
Saudi Arabia,46
Petroleum,57
China,26
Railways,32
Malaysia,49
Singapore,55

Start,10
England,9
Iraq,4
Waterways,14
UNO4,18
France,4
Iran,8
Satellite,8
Egypt,8
Resort,16
Canada,4
Germany,12
Airways,6
Customs Duty,16
Switzerland,7
Brazil,6
Chance16,12
Italy,7
Party House,15
Japan,8
USA,4
Travelling Duty,18
Roadways,6
Mexico,11
Hong Kong,7
UNO25,14
Australia,8
Jail,9
India,7
Chance29,16
Saudi Arabia,6
Petroleum,6
China,8
Railways,8
Malaysia,7
Singapore,7

Start,20
England,8
Iraq,3
Waterways,11
UNO4,14
France,10
Iran,7
Satellite,10
Egypt,6
Resort,12
Canada,8
Germany,5
Airways,8
Customs Duty,14
Switzerland,8
Brazil,14
Chance16,14
Italy,6
Party House,16
Japan,12
USA,6
Travelling Duty,12
Roadways,8
Mexico,9
Hong Kong,8
UNO25,22
Australia,11
Jail,20
India,4
Chance29,22
Saudi Arabia,5
Petroleum,4
China,12
Railways,6
Malaysia,9
Singapore,9

Start,26
England,13
Iraq,9
Waterways,8
UNO4,22
France,15
Iran,11
Satellite,50463500
Egypt,10
Resort,34
Canada,9
Germany,13
Airways,50397965
Customs Duty,14
Switzerland,11
Brazil,12
Chance16,22
Italy,8
Party House,31
Japan,14
USA,15
Travelling Duty,10
Roadways,2069518691
Mexico,14
Hong Kong,10
UNO25,16
Australia,12
Jail,32
India,6
Chance29,22
Saudi Arabia,10
Petroleum,13
China,9
Railways,10
Malaysia,13
Singapore,9

Start,6
England,13
Iraq,7
Waterways,9
UNO4,10
France,10
Iran,7
Satellite,5
Egypt,10
Resort,32
Canada,6
Germany,15
Airways,4
Customs Duty,16
Switzerland,9
Brazil,3
Chance16,18
Italy,12
Party House,19
Japan,6
USA,7
Travelling Duty,20
Roadways,5
Mexico,10
Hong Kong,7
UNO25,28
Australia,10
Jail,27
India,7
Chance29,20
Saudi Arabia,2
Petroleum,10
China,11
Railways,6
Malaysia,11
